CustomerID,TotalSpend,TotalQuantity,Frequency
12346,77183.6,74215,1
12347,4309.999999999997,2458,182
12348,1797.24,2341,31
12349,1757.55,631,73
12350,334.40000000000003,197,17
12352,2506.040000000001,536,85
12353,89,20,4
12354,1079.4,530,58
12355,459.4,240,13
12356,2811.4300000000007,1591,59
12357,6207.669999999996,2708,131
12358,1168.06,248,19
12359,6372.580000000005,1622,248
12360,2662.0600000000004,1165,129
12361,189.89999999999998,91,10
12362,5226.230000000003,2229,266
12363,552,408,23
12364,1313.1000000000001,1506,85
12365,641.38,174,22
12367,168.9,173,11
12370,3545.689999999998,2353,167
12371,1887.9600000000003,591,63
12372,1298.0400000000002,794,52
12373,364.6,197,14
12374,742.93,342,33
12375,457.5000000000001,178,17
12377,1628.1199999999997,944,77
12378,4008.6200000000013,2529,219
12379,852.2399999999997,407,40
12380,2724.81,1127,104
12381,1845.3100000000006,808,87
12383,1850.5599999999997,1532,99
12384,585.2700000000001,126,27
12386,401.90000000000003,354,10
12388,2780.6600000000003,1462,100
12390,549.8399999999999,353,32
12391,460.88999999999993,300,100
12393,1582.6000000000004,816,64
12394,1272.48,819,27
12395,3018.6299999999987,2118,156
12397,2409.9000000000005,1263,126
12398,1635.6599999999999,1394,85
12399,1108.65,1178,59
12401,84.3,11,5
12402,225.6,94,11
12403,427.7,96,5
12405,1710.3900000000006,857,54
12406,3415.300000000001,1818,105
12407,1708.1199999999997,1416,77
12408,2888.5500000000006,1409,105
12409,11072.670000000002,5551,109
12410,693.3299999999999,211,26
12412,1226.8799999999999,829,61
12413,758.0999999999999,286,38
12414,562.41,300,18
12415,124914.52999999975,77374,714
12417,3649.1,1552,192
12418,668.5799999999997,407,34
12420,600.3900000000001,345,29
12421,807.0400000000002,484,45
12422,803.5599999999998,370,39
12423,1859.3100000000002,1339,125
12424,1760.9599999999998,740,30
12425,777.1999999999999,496,36
12426,582.7299999999999,258,30
12427,825.8000000000002,533,31
12428,7956.460000000004,3536,294
12429,3750.400000000001,1557,97
12430,256.4,117,11
12431,6487.449999999999,2906,235
12432,5059.3200000000015,1801,108
12433,13375.869999999992,11071,420
12434,806.14,394,50
12435,7829.889999999998,2055,36
12436,509.01000000000005,211,16
12437,4951.409999999997,2922,199
12438,2906.8500000000004,1180,98
12441,173.55,121,11
12442,172.06,182,12
12444,5005.46,1153,176
12445,133.4,62,4
12446,1002.3099999999998,351,57
12447,476.49,190,26
12448,449.4500000000001,243,22
12449,4067.2900000000013,1553,191
12450,197.88,128,8
12451,9035.519999999999,6575,354
12452,430.57000000000005,185,22
12453,707.0899999999999,473,43
12454,3528.34,1006,15
12455,2466.859999999997,2089,90
12456,3181.039999999998,1633,125
12457,2363.2299999999996,843,62
12458,947.4000000000001,506,38
12461,826.8800000000001,287,35
12462,1189.5900000000001,536,62
12463,1344.7799999999997,776,83
12464,1212.0499999999997,112,29
12465,742.1900000000002,479,47
12468,729.54,366,38
12471,19824.049999999945,8212,460
12472,6572.110000000003,4148,339
12473,3938.55,2439,168
12474,7375.789999999998,4847,424
12475,723.38,535,36
12476,6816.420000000005,2408,233
12477,13219.73999999999,3653,300
12478,680.9900000000002,236,36
12479,527.2,385,31
12480,3281.6300000000015,1707,154
12481,5596.320000000002,3304,217
12483,2484.980000000001,1110,75
12484,4541.720000000001,2191,346
12488,1298.6599999999999,529,55
12489,334.92999999999995,105,15
12490,5417.9299999999985,3064,245
12491,460.4000000000001,260,26
12492,263.21,192,20
12493,433.74,207,22
12494,1246.1000000000006,707,77
12497,1043.1,1236,14
12498,403.7,159,23
12500,4257.820000000001,2678,61
12501,2169.3899999999994,1783,149
12502,3723.87,820,147
12504,482.04999999999995,90,9
12506,73.50000000000003,23,23
12507,1304.81,894,21
12508,398.27000000000004,272,69
12509,176.5,55,7
12510,982.57,353,33
12512,138.03000000000006,99,34
12513,612.2900000000001,462,35
12514,1017.6800000000002,440,51
12515,383.7,131,16
12516,1312.06,875,26
12517,2502.8399999999983,1371,284
12518,2056.8899999999994,1318,124
12519,340.84,183,18
12520,2634.26,1439,152
12521,599.6800000000001,309,38
12522,192.72000000000003,194,12
12523,1789.7700000000007,865,106
12524,4485.719999999999,3699,144
12526,1316.6600000000005,632,71
12527,348.71000000000004,234,18
12528,1933.4800000000007,756,92
12530,1662.2799999999993,913,66
12531,125.22,45,17
12532,349.83,153,16
12534,1089.18,651,63
12535,716.3500000000001,219,34
12536,12601.830000000005,2803,261
12538,363.95,191,21
12539,5568.349999999995,2067,273
12540,13400.23999999999,6685,478
12541,981.1800000000002,680,52
12544,372.7,136,19
12545,1000.3899999999999,523,50
12546,1161.5,633,69
12547,207.8,134,8
12548,95.19999999999999,49,5
12550,964.8299999999994,569,57
12551,168,100,10
12552,437.81999999999994,88,20
12553,3692.280000000001,1965,191
12556,603.7099999999997,358,121
12557,11990.96,4384,33
12558,269.96000000000004,196,11
12559,561.7099999999999,283,21
12560,2134.01,1110,105
12561,238.85,177,16
12562,3781.7400000000025,1779,168
12564,456.9000000000001,133,21
12565,145.92,80,9
12566,351.65000000000003,265,19
12567,9401.279999999993,4305,446
12569,4124.69,1801,188
12571,519.6099999999999,523,34
12572,1020.4200000000003,452,60
12573,160.54,84,28
12574,218.45000000000002,61,11
12576,1315.8299999999997,967,88
12577,657.8000000000003,472,147
12578,2794.5099999999993,1196,114
12579,440.41999999999996,285,29
12580,415.7,238,24
12581,197.70999999999998,161,15
12582,511.3599999999999,300,22
12583,7281.379999999993,5060,247
12584,2338.1499999999996,416,96
12585,2040.099999999999,1279,87
12586,196.94,79,11
12587,144,51,4
12588,214.9,53,10
12589,646.6800000000001,306,35
12590,9864.260000000004,4283,68
12591,452.84999999999985,228,26
12592,437.59999999999997,290,18
12593,418.09999999999997,206,21
12594,3338.2199999999984,1777,118
12596,618.27,474,27
12597,3811.2200000000016,2236,206
12598,3023.079999999999,1964,132
12599,1032.5800000000006,956,62
12600,2599.0400000000004,774,64
12601,577.0600000000001,245,28
12602,153.12000000000003,162,12
12603,739.1999999999999,63,2
12604,254.17999999999995,201,16
12607,1579.51,1228,101
12609,1126.8500000000001,648,60
12610,2099.540000000001,1049,106
12611,1193.32,846,65
12612,704.0400000000001,262,19
12613,3344.3799999999983,1644,153
12614,315.59999999999997,76,20
12615,2291.1900000000005,1376,105
12616,713.3,284,32
12617,355.5300000000002,213,42
12618,177.31,96,11
12619,3641.2400000000002,3378,90
12620,1339.4099999999999,1181,92
12621,13689.67,7440,467
12622,180.09999999999997,69,11
12623,305.1,191,18
12624,641.1300000000001,355,38
12625,2683.8199999999997,1612,86
12626,6620.479999999998,3453,294
12627,4478.53,2752,230
12628,786.4599999999998,448,41
12630,1270.8799999999999,548,64
12631,640.5000000000002,236,31
12633,2163.9799999999996,1162,101
12635,1689.18,1172,101
12637,6021.9000000000005,3002,390
12638,671.69,577,39
12639,486.1,201,22
12640,1174.58,311,53
12641,185.9,72,10
12642,1013.26,552,47
